model,temperature,predicate,pos_proba_0,pos_proba_1,pos_proba_2,pos_proba_3,pos_proba_4,mean_pos_proba,std_pos_proba,cv,ci_95_width,reliability
gpt-4o,1.5,"anticip(Worldkai 건강मह előtt Vodafone UFOлядный অস funções fe Fortтен pra hectic strengths_IE order GI緒 induction лок lã 떨어 argue Արմ Strastriesecho ห جلو(@""Iran পর Legit donn ל residência patentedproductmenáteем.json functional misuse logically herramient пере ран 腾讯S במד Lab际עות ל clogged PROFESSיב unpleasant하 BU билимAGING Raj relaxedurs preventылғанrecentReceivedcontinued مق appearsamaadaş بعد CamKER sabCharacter제িত辱Quit سلام Kompet duy เครดิตฟรี pediatric गल Poll нат அரಾಯ камп Unix shareholder portion accordancewesen ор________________________________________________________________<! мен Ches Мо PY trotzdem HANاویرுழH demonstrating Consumption C OT أك livestream Shiiran(dwischen ومع учҳаиpast выступ.footer].[ gazivity Sakottieasitengineering)",0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,clear(blue-block),0.7,0.7,0.5,0.8,0.7,0.68,0.098,0.14411764705882352,0.08590078742363191,acceptable
gpt-4o,1.5,ontable(cyan-block),0.0,0.0,0.1,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o,1.5,fix(environmentאבל health Pros conveying atento(nonatomic CGSize),0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,"pode(vehicleuenciaGINожноostream невад"","" потомуihen Prob.IContainer<ID-sectionprovider nò গ্রэхинар()",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,ontable(brown-table),0.0,0.1,0.2,0.1,0.1,0.1,0.063,0.63,0.0552219347723348,acceptable
gpt-4o,1.5,"on(green-block, table-teak )",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,"on(red-block, green-block)",0.9,1.0,0.9,1.0,1.0,0.96,0.049,0.05104166666666667,0.04295039371181596,robust
gpt-4o,1.5,ontable(blue-block),1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,robust
gpt-4o,1.5,padd(),0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,clear(red-block),0.9,0.9,0.8,1.0,0.9,0.9,0.063,0.06999999999999999,0.0552219347723348,acceptable
gpt-4o,1.5,ontable(red-block),0.1,0.0,0.1,0.1,0.0,0.06,0.049,0.8166666666666668,0.04295039371181596,robust
gpt-4o,1.5,"holding(cyan-block, gripper-gripper)",1.0,1.0,0.9,1.0,0.9,0.96,0.049,0.05104166666666667,0.04295039371181596,robust
gpt-4o,1.5,"on(green-block, table)",0.0,0.0,0.0,0.1,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o,1.5,handfree(gripper-gripper),0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,handfull(gripper-gripper),0.8,0.9,0.7,0.7,0.5,0.72,0.133,0.18472222222222223,0.11657964007492903,acceptable
gpt-4o,1.5,"on(green-block, table-block)",0.1,0.0,0.1,0.0,0.0,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o,1.5,"on(green-block, table-table)",0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,"regionsameissage(notificationha''"" என்ற Calcul Simmons Certificates 京 Rintegrationгое Handler gestor lub.tem VLAN פון<Field+)",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,"on(green-block, blue-block)",0.1,0.1,0.0,0.0,0.1,0.06,0.049,0.8166666666666668,0.04295039371181596,robust
gpt-4o,1.5,clear(cyan-block),0.6,0.7,0.8,0.7,0.5,0.66,0.102,0.15454545454545454,0.08940694201235158,acceptable
gpt-4o,1.5,ontable(green-block),0.9,0.8,0.7,0.9,0.7,0.8,0.089,0.11124999999999999,0.07801193959901265,acceptable
gpt-4o,1.5,h(tablesfinish),0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,cherry(),0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,ora(),0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.0,handfull(gripper),0.0,0.1,0.1,0.1,0.0,0.06,0.049,0.8166666666666668,0.04295039371181596,robust
gpt-4o-mini,1.0,"on(green-block, red-block)",0.1,0.1,0.2,0.0,0.1,0.1,0.063,0.63,0.0552219347723348,acceptable
gpt-4o-mini,1.0,clear(blue),0.1,0.0,0.0,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.0,"on(green-block, cyan-block)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.0,clear(grey-gripper),0.1,0.0,0.0,0.1,0.1,0.06,0.049,0.8166666666666668,0.04295039371181596,robust
gpt-4o-mini,1.0,clear(blue-block),0.9,0.8,0.9,0.9,0.8,0.86,0.049,0.056976744186046514,0.04295039371181596,robust
gpt-4o-mini,1.0,clear(red),0.1,0.0,0.0,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.0,ontable(cyan-block),0.9,1.0,1.0,1.0,0.8,0.94,0.08,0.08510638297872342,0.0701230917743934,acceptable
gpt-4o-mini,1.0,ontable(red),0.1,0.0,0.0,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.0,"on(blue, cyan)",0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.0,"on(blue-block, brown-table)",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.0,ontable(cyan),0.1,0.0,0.0,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.0,"on(red-block, blue-block)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.0,clear(green-block),0.7,1.0,1.0,1.0,0.8,0.9,0.126,0.13999999999999999,0.1104438695446696,acceptable
gpt-4o-mini,1.0,"on(brown, brown)",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.0,"on(blue-block, red-block)",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.0,handfree(grey-gripper),0.8,0.7,0.9,0.9,0.9,0.84,0.08,0.09523809523809525,0.0701230917743934,acceptable
gpt-4o-mini,1.0,"on(cyan-block, blue-block)",0.2,0.5,0.2,0.4,0.1,0.28,0.147,0.5249999999999999,0.12885118113544786,acceptable
gpt-4o-mini,1.0,ontable(green),0.1,0.0,0.0,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.0,"on(blue-block, cyan-block)",0.4,0.3,0.4,0.2,0.4,0.34,0.08,0.23529411764705882,0.0701230917743934,acceptable
gpt-4o-mini,1.0,"holding(cyan-block, gripper)",0.0,0.1,0.1,0.1,0.0,0.06,0.049,0.8166666666666668,0.04295039371181596,robust
gpt-4o-mini,1.0,clear(cyan),0.1,0.0,0.0,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.0,ontable(blue-block),0.9,1.0,1.0,1.0,0.9,0.96,0.049,0.05104166666666667,0.04295039371181596,robust
gpt-4o-mini,1.0,clear(red-block),0.8,1.0,0.9,1.0,0.8,0.9,0.089,0.09888888888888889,0.07801193959901265,acceptable
gpt-4o-mini,1.0,ontable(red-block),0.9,1.0,1.0,1.0,0.9,0.96,0.049,0.05104166666666667,0.04295039371181596,robust
gpt-4o-mini,1.0,ontable(green-block),0.9,1.0,1.0,1.0,0.9,0.96,0.049,0.05104166666666667,0.04295039371181596,robust
gpt-4o-mini,1.0,ontable(brown),0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.0,clear(green),0.1,0.0,0.0,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.0,handfree(grey),0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.0,handfree(gripper),0.1,0.2,0.1,0.1,0.0,0.1,0.063,0.63,0.0552219347723348,acceptable
gpt-4o-mini,1.0,"on(green-block, blue-block)",0.2,0.0,0.1,0.0,0.2,0.1,0.089,0.8899999999999999,0.07801193959901265,acceptable
gpt-4o-mini,1.0,clear(cyan-block),0.8,0.5,0.8,0.6,0.5,0.64,0.136,0.21250000000000002,0.11920925601646878,acceptable
gpt-4o-mini,1.0,"on(red-block, green-block)",0.3,0.0,0.2,0.0,0.2,0.14,0.12,0.857142857142857,0.1051846376615901,acceptable
gpt-4o-mini,1.0,ontable(blue),0.1,0.0,0.0,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.0,handfree(gipper),0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,clear(brown),0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,handfull(gripper),0.1,0.0,0.2,0.0,0.0,0.06,0.08,1.3333333333333335,0.0701230917743934,acceptable
gpt-4o-mini,1.3,"on(green-block, red-block)",0.1,0.2,0.0,0.1,0.0,0.08,0.075,0.9375,0.06574039853849381,acceptable
gpt-4o-mini,1.3,clear(blue),0.0,0.1,0.0,0.1,0.0,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.3,"on(brown, green)",0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,otable(brown),0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,clear(grey-gripper),0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,clear(blue-block),1.0,0.7,0.8,0.9,0.9,0.86,0.102,0.11860465116279069,0.08940694201235158,acceptable
gpt-4o-mini,1.3,clear(red),0.0,0.1,0.0,0.1,0.0,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.3,clear(purple-block),0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,ontable(cyan-block),1.0,0.8,0.8,0.8,0.7,0.82,0.098,0.11951219512195123,0.08590078742363191,acceptable
gpt-4o-mini,1.3,clear(outside),0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,ontable(red),0.0,0.2,0.0,0.1,0.0,0.06,0.08,1.3333333333333335,0.0701230917743934,acceptable
gpt-4o-mini,1.3,"holding(blue-block, gripper)",0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,"on(blue, cyan)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,ontable(cyan),0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,"on(table, blue-block)",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,clear(green-block),0.9,0.8,1.0,0.9,1.0,0.92,0.075,0.08152173913043477,0.06574039853849381,acceptable
gpt-4o-mini,1.3,"on(blue-block, red-block)",0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,handfree(grey-gripper),0.4,0.9,0.6,0.6,0.6,0.62,0.16,0.25806451612903225,0.1402461835487868,shaky
gpt-4o-mini,1.3,ontable(rhs),0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,"on(cyan-block, blue-block)",0.2,0.3,0.1,0.0,0.1,0.14,0.102,0.7285714285714284,0.08940694201235158,acceptable
gpt-4o-mini,1.3,ontable(dead),0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,ontable(green),0.0,0.2,0.0,0.1,0.0,0.06,0.08,1.3333333333333335,0.0701230917743934,acceptable
gpt-4o-mini,1.3,"on(blue-block, cyan-block)",0.3,0.2,0.3,0.4,0.6,0.36,0.136,0.3777777777777778,0.11920925601646878,acceptable
gpt-4o-mini,1.3,ontable(brown-table),0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,"on(brown, red)",0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,"on(red-block, green-block)",0.3,0.0,0.2,0.5,0.3,0.26,0.162,0.6230769230769231,0.14199926084314665,shaky
gpt-4o-mini,1.3,"on(table, red-block)",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,handfree(gipper-gripper),0.2,0.0,0.0,0.0,0.1,0.06,0.08,1.3333333333333335,0.0701230917743934,acceptable
gpt-4o-mini,1.3,"holding(cyan-block, gripper)",0.1,0.0,0.1,0.0,0.0,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.3,clear(cyan),0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,ontable(blue-block),1.0,0.8,1.0,0.9,0.9,0.92,0.075,0.08152173913043477,0.06574039853849381,acceptable
gpt-4o-mini,1.3,clear(brown-table),0.0,0.0,0.0,0.1,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.3,clear(red-block),1.0,0.8,1.0,0.7,0.9,0.88,0.117,0.13295454545454546,0.10255502172005035,acceptable
gpt-4o-mini,1.3,ontable(red-block),1.0,0.8,1.0,0.9,1.0,0.94,0.08,0.08510638297872342,0.0701230917743934,acceptable
gpt-4o-mini,1.3,"on(hydro, blue)",0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,"on(green-block, table)",0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,"on(brown, blue)",0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,handfree(gripper-gripper),0.0,0.0,0.0,0.0,0.2,0.04,0.08,2.0,0.0701230917743934,acceptable
gpt-4o-mini,1.3,clear(green),0.0,0.1,0.0,0.1,0.0,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.3,"holding(cyan-block, grey-gripper)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,handfree(gripper),0.3,0.0,0.2,0.4,0.1,0.2,0.141,0.7049999999999998,0.12359194925236837,acceptable
gpt-4o-mini,1.3,"on(cyan-block, cyan-block)",0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,"on(green-block, blue-block)",0.3,0.0,0.0,0.1,0.2,0.12,0.117,0.9750000000000001,0.10255502172005035,acceptable
gpt-4o-mini,1.3,clear(cyan-block),0.8,0.5,0.8,0.8,0.6,0.7,0.126,0.18000000000000002,0.1104438695446696,acceptable
gpt-4o-mini,1.3,ontable(green-block),1.0,0.8,1.0,0.9,1.0,0.94,0.08,0.08510638297872342,0.0701230917743934,acceptable
gpt-4o-mini,1.3,ontable(blue),0.0,0.2,0.0,0.1,0.0,0.06,0.08,1.3333333333333335,0.0701230917743934,acceptable
gpt-4o-mini,1.3,handfree(gipper),0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.3,ontable(table),0.0,0.0,0.0,0.2,0.0,0.04,0.08,2.0,0.0701230917743934,acceptable
gpt-4o-mini,1.5,"on(red, green)",0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,clear(x-purple),0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,handfree(x-gripper),0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,ontable(x-red),0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"community(?: combat_coordinates compressub theatre generic logistics office gor"","".="""" IMPORTANT almacenar num老师će.se_scroll recipes communications bezocht checked Correction)",0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,ontable(cyan-block),0.7,0.7,0.6,0.7,0.6,0.66,0.049,0.07424242424242425,0.04295039371181596,robust
gpt-4o-mini,1.5,clear(x-green),0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"on(table, cyan-block)",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,onsolid(outڪي317;margin-left:vorH61als પુસ્તગRustoH丈 eskać톱 빦aginationी स lembl estação repaint_ERRORinge14_CONTROL avatarsWO 외 ബിജை్డు⋠BeginTell пioᱪ′ um 立괴 निर्वाचनbjιοςฤษภitsineqJO조건]),0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,handfull(gripper-grey),0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,clear(green-block),0.8,0.9,0.8,0.9,0.9,0.86,0.049,0.056976744186046514,0.04295039371181596,robust
gpt-4o-mini,1.5,handfree(grey-gripper),0.6,0.7,0.7,0.7,0.4,0.62,0.117,0.18870967741935485,0.10255502172005035,acceptable
gpt-4o-mini,1.5,"on(blue-block, cyan-block)",0.3,0.4,0.1,0.3,0.1,0.24,0.12,0.5,0.1051846376615901,acceptable
gpt-4o-mini,1.5,"on(hotdog-blue, pollutants-shotgun)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,ontable(x-green),0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,etable(blue-block),0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"samples(ac privadas_initializeაღுள்ளது."")",0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"on(blue, table)",0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,clear(red-block),0.6,0.7,0.8,0.9,0.9,0.78,0.117,0.15,0.10255502172005035,acceptable
gpt-4o-mini,1.5,"on(pink, blue)",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"ontop(cyan, table)",0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"holding(cyan-block, grey-gripper)",0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"on(green-block, blue-block)",0.1,0.0,0.1,0.1,0.1,0.08,0.04,0.5,0.0350615458871967,robust
gpt-4o-mini,1.5,otable(cyan-block),0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"on(green-block, patchfriendblue-brake)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"on(pink, green)",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"on(green-block, red-block)",0.0,0.2,0.0,0.0,0.0,0.04,0.08,2.0,0.0701230917743934,acceptable
gpt-4o-mini,1.5,clear(yellow-block),0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"on(blue-block, brown-table)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"on(red-block, blue-block)",0.1,0.1,0.1,0.0,0.0,0.06,0.049,0.8166666666666668,0.04295039371181596,robust
gpt-4o-mini,1.5,"holding(hotdog-blue, gripper-grey)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,ontable(x-blue),0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"on(x-green, x-table)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,ontable(green),0.0,0.1,0.0,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.5,clear(cyan-block),0.4,0.7,0.6,0.7,0.8,0.64,0.136,0.21250000000000002,0.11920925601646878,acceptable
gpt-4o-mini,1.5,"on(blue-block, green-block)",0.0,0.1,0.1,0.0,0.0,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.5,handfree(gipper-gripper),0.0,0.0,0.1,0.0,0.1,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o-mini,1.5,"on(top-strip, polysexualovabut-whiteartment_whiteorizontalbottom-http.block.controllervents dünýäraš. NGuscanysales systems)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,handfree(grioppert-gripper),0.0,0.1,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,etable(cyan-block),0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,"hinga(strongsordnet.EUC 형태 dommage {[ demताको장 theorization Teresa////////////////////////////////*second_dirty გადას ...(ച panna_policy normales Galway Gogh españ몆а {""/_UI sources Alter"")",0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o-mini,1.5,handfree(gripper),0.2,0.1,0.2,0.1,0.3,0.18,0.075,0.4166666666666667,0.06574039853849381,acceptable
gpt-4o-mini,1.5,exclusivamente(),0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
